date,open,close,high,low,volume
2024-09-04,27.291,26.931,27.361,26.741,55088.0
2024-09-05,26.941,26.781,27.431,26.591,37764.0
2024-09-06,26.651,26.161,26.841,25.821,59994.0
2024-09-09,25.991,25.521,26.111,25.251,62021.0
2024-09-10,25.531,25.741,25.881,25.101,68506.0
2024-09-11,25.571,25.751,25.881,25.101,75956.0
2024-09-12,25.841,26.211,26.581,25.841,67299.0
2024-09-13,26.311,24.541,26.331,24.441,118070.0
2024-09-18,24.631,26.111,26.541,24.631,156026.0
2024-09-19,26.621,26.361,26.701,25.921,84990.0
2024-09-20,26.321,27.381,27.531,25.901,112029.0
2024-09-23,27.281,27.691,27.921,27.101,77903.0
2024-09-24,27.831,28.641,28.991,27.421,89561.0
2024-09-25,29.011,27.721,29.541,27.531,130846.0
2024-09-26,27.821,27.881,28.091,27.111,176182.0
2024-09-27,28.021,29.141,29.801,28.021,234760.0
2024-09-30,30.031,31.941,32.151,29.421,232509.0
2024-10-08,35.231,34.991,35.231,31.951,275320.0
